datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2023-06-01 10:34:00,100.5,NFO,15-JUN-2023,101.35,99.65,99.65,135250,Options,Call,NIFTY,18700.0,2850.0
2023-06-01 10:35:00,100.95,NFO,15-JUN-2023,100.95,99.75,100.5,134650,Options,Call,NIFTY,18700.0,500.0
2023-06-01 10:36:00,100.05,NFO,15-JUN-2023,100.95,99.95,100.95,134650,Options,Call,NIFTY,18700.0,300.0
2023-06-01 10:37:00,101.85,NFO,15-JUN-2023,101.9,100.05,100.05,134650,Options,Call,NIFTY,18700.0,2350.0
2023-06-01 10:38:00,101.6,NFO,15-JUN-2023,102.3,101.6,101.9,134650,Options,Call,NIFTY,18700.0,2950.0
2023-06-01 10:39:00,101.45,NFO,15-JUN-2023,102.15,101.15,101.6,131800,Options,Call,NIFTY,18700.0,850.0
2023-06-01 10:40:00,101.95,NFO,15-JUN-2023,102.3,101.45,101.45,131800,Options,Call,NIFTY,18700.0,800.0
2023-06-01 10:41:00,101.25,NFO,15-JUN-2023,102.1,101.25,101.95,131800,Options,Call,NIFTY,18700.0,700.0
2023-06-01 10:42:00,101.25,NFO,15-JUN-2023,102.05,101.25,101.75,131550,Options,Call,NIFTY,18700.0,900.0
2023-06-01 10:43:00,99.0,NFO,15-JUN-2023,101.25,99.0,101.25,131550,Options,Call,NIFTY,18700.0,2950.0
2023-06-01 10:44:00,98.95,NFO,15-JUN-2023,100.45,98.95,99.85,132400,Options,Call,NIFTY,18700.0,7700.0
2023-06-01 10:45:00,97.95,NFO,15-JUN-2023,98.95,97.5,98.95,132400,Options,Call,NIFTY,18700.0,4300.0
2023-06-01 10:46:00,96.05,NFO,15-JUN-2023,97.95,96.05,97.95,132400,Options,Call,NIFTY,18700.0,5400.0
2023-06-01 10:47:00,97.2,NFO,15-JUN-2023,97.5,96.05,96.05,141000,Options,Call,NIFTY,18700.0,1700.0
2023-06-01 10:48:00,98.8,NFO,15-JUN-2023,98.8,97.2,97.2,141000,Options,Call,NIFTY,18700.0,50.0
