,close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
54,91.8,2023-07-26 10:09:00,NFO,10-AUG-2023,91.8,91.8,91.8,26350,Options,Put,NIFTY,19650.0,0
55,91.3,2023-07-26 10:10:00,NFO,10-AUG-2023,91.8,91.3,91.8,27150,Options,Put,NIFTY,19650.0,550
56,91.8,2023-07-26 10:11:00,NFO,10-AUG-2023,92.4,91.3,91.3,27150,Options,Put,NIFTY,19650.0,250
57,92.5,2023-07-26 10:12:00,NFO,10-AUG-2023,92.95,91.8,91.8,27600,Options,Put,NIFTY,19650.0,700
58,92.5,2023-07-26 10:13:00,NFO,10-AUG-2023,92.5,92.5,92.5,27600,Options,Put,NIFTY,19650.0,0
59,91.8,2023-07-26 10:14:00,NFO,10-AUG-2023,92.5,91.6,92.5,27600,Options,Put,NIFTY,19650.0,100
60,91.65,2023-07-26 10:15:00,NFO,10-AUG-2023,91.8,91.65,91.8,27600,Options,Put,NIFTY,19650.0,100
61,92.35,2023-07-26 10:16:00,NFO,10-AUG-2023,92.35,91.65,91.65,27600,Options,Put,NIFTY,19650.0,200
62,93.1,2023-07-26 10:17:00,NFO,10-AUG-2023,93.55,92.35,92.35,27600,Options,Put,NIFTY,19650.0,100
63,92.9,2023-07-26 10:18:00,NFO,10-AUG-2023,93.1,92.9,93.1,27400,Options,Put,NIFTY,19650.0,150
64,93.4,2023-07-26 10:19:00,NFO,10-AUG-2023,93.4,92.9,92.9,27400,Options,Put,NIFTY,19650.0,0
65,92.7,2023-07-26 10:20:00,NFO,10-AUG-2023,93.4,92.7,93.4,27400,Options,Put,NIFTY,19650.0,200
66,92.7,2023-07-26 10:21:00,NFO,10-AUG-2023,92.7,92.7,92.7,27400,Options,Put,NIFTY,19650.0,0
67,92.7,2023-07-26 10:22:00,NFO,10-AUG-2023,92.7,92.7,92.7,27400,Options,Put,NIFTY,19650.0,0
68,92.7,2023-07-26 10:23:00,NFO,10-AUG-2023,92.7,92.7,92.7,27400,Options,Put,NIFTY,19650.0,0
69,92.7,2023-07-26 10:24:00,NFO,10-AUG-2023,92.7,92.7,92.7,27400,Options,Put,NIFTY,19650.0,0
70,91.85,2023-07-26 10:25:00,NFO,10-AUG-2023,92.7,91.85,92.7,27400,Options,Put,NIFTY,19650.0,200
71,92.05,2023-07-26 10:26:00,NFO,10-AUG-2023,92.1,91.85,91.85,27400,Options,Put,NIFTY,19650.0,250
72,92.05,2023-07-26 10:27:00,NFO,10-AUG-2023,92.05,92.05,92.05,27400,Options,Put,NIFTY,19650.0,0
73,92.05,2023-07-26 10:28:00,NFO,10-AUG-2023,92.05,92.05,92.05,27400,Options,Put,NIFTY,19650.0,0
74,89.95,2023-07-26 10:29:00,NFO,10-AUG-2023,92.05,89.75,92.05,27350,Options,Put,NIFTY,19650.0,1650
75,90.65,2023-07-26 10:30:00,NFO,10-AUG-2023,91.0,90.35,90.4,27350,Options,Put,NIFTY,19650.0,3500
76,90.0,2023-07-26 10:31:00,NFO,10-AUG-2023,90.0,90.0,90.0,27350,Options,Put,NIFTY,19650.0,200
77,91.0,2023-07-26 10:32:00,NFO,10-AUG-2023,91.0,90.0,90.0,27350,Options,Put,NIFTY,19650.0,150
78,92.1,2023-07-26 10:33:00,NFO,10-AUG-2023,92.2,91.0,91.0,29300,Options,Put,NIFTY,19650.0,550
79,91.6,2023-07-26 10:34:00,NFO,10-AUG-2023,91.6,91.6,91.6,29300,Options,Put,NIFTY,19650.0,50
80,91.75,2023-07-26 10:35:00,NFO,10-AUG-2023,91.75,91.6,91.6,29300,Options,Put,NIFTY,19650.0,150
81,91.0,2023-07-26 10:36:00,NFO,10-AUG-2023,91.75,91.0,91.75,29550,Options,Put,NIFTY,19650.0,1550
82,90.5,2023-07-26 10:37:00,NFO,10-AUG-2023,91.0,90.05,91.0,29550,Options,Put,NIFTY,19650.0,550
83,90.8,2023-07-26 10:38:00,NFO,10-AUG-2023,90.8,90.5,90.5,29550,Options,Put,NIFTY,19650.0,100
84,90.8,2023-07-26 10:39:00,NFO,10-AUG-2023,90.8,90.8,90.8,29550,Options,Put,NIFTY,19650.0,0
85,90.8,2023-07-26 10:40:00,NFO,10-AUG-2023,90.8,90.8,90.8,29550,Options,Put,NIFTY,19650.0,0
86,92.25,2023-07-26 10:41:00,NFO,10-AUG-2023,92.75,90.8,90.8,29250,Options,Put,NIFTY,19650.0,450
87,92.25,2023-07-26 10:42:00,NFO,10-AUG-2023,92.25,92.25,92.25,29250,Options,Put,NIFTY,19650.0,0
88,92.25,2023-07-26 10:43:00,NFO,10-AUG-2023,92.25,92.25,92.25,29250,Options,Put,NIFTY,19650.0,0
89,92.0,2023-07-26 10:44:00,NFO,10-AUG-2023,92.0,92.0,92.0,29350,Options,Put,NIFTY,19650.0,50
90,92.75,2023-07-26 10:45:00,NFO,10-AUG-2023,92.75,92.75,92.75,29350,Options,Put,NIFTY,19650.0,50
91,93.4,2023-07-26 10:46:00,NFO,10-AUG-2023,93.8,92.75,92.75,29350,Options,Put,NIFTY,19650.0,400
92,93.0,2023-07-26 10:47:00,NFO,10-AUG-2023,93.4,93.0,93.4,29350,Options,Put,NIFTY,19650.0,50
93,93.0,2023-07-26 10:48:00,NFO,10-AUG-2023,93.0,93.0,93.0,29350,Options,Put,NIFTY,19650.0,0
94,92.95,2023-07-26 10:49:00,NFO,10-AUG-2023,93.0,92.95,93.0,29150,Options,Put,NIFTY,19650.0,100
95,92.95,2023-07-26 10:50:00,NFO,10-AUG-2023,92.95,92.95,92.95,29150,Options,Put,NIFTY,19650.0,0
96,92.95,2023-07-26 10:51:00,NFO,10-AUG-2023,92.95,92.95,92.95,29150,Options,Put,NIFTY,19650.0,0
97,92.95,2023-07-26 10:52:00,NFO,10-AUG-2023,92.95,92.95,92.95,29150,Options,Put,NIFTY,19650.0,0
98,92.95,2023-07-26 10:53:00,NFO,10-AUG-2023,92.95,92.95,92.95,29150,Options,Put,NIFTY,19650.0,0
99,94.6,2023-07-26 10:54:00,NFO,10-AUG-2023,94.6,92.95,92.95,29250,Options,Put,NIFTY,19650.0,100
100,94.6,2023-07-26 10:55:00,NFO,10-AUG-2023,94.6,94.6,94.6,29250,Options,Put,NIFTY,19650.0,0
101,94.6,2023-07-26 10:56:00,NFO,10-AUG-2023,94.6,94.6,94.6,29250,Options,Put,NIFTY,19650.0,0
102,94.6,2023-07-26 10:57:00,NFO,10-AUG-2023,94.6,94.45,94.6,29300,Options,Put,NIFTY,19650.0,350
103,94.6,2023-07-26 10:58:00,NFO,10-AUG-2023,94.6,94.6,94.6,29300,Options,Put,NIFTY,19650.0,0
104,95.35,2023-07-26 10:59:00,NFO,10-AUG-2023,95.35,94.6,94.6,29350,Options,Put,NIFTY,19650.0,300
105,93.85,2023-07-26 11:00:00,NFO,10-AUG-2023,95.35,93.85,95.35,29350,Options,Put,NIFTY,19650.0,100
106,94.2,2023-07-26 11:01:00,NFO,10-AUG-2023,94.2,94.2,94.2,29350,Options,Put,NIFTY,19650.0,50
107,94.2,2023-07-26 11:02:00,NFO,10-AUG-2023,94.2,94.2,94.2,29350,Options,Put,NIFTY,19650.0,0
108,94.2,2023-07-26 11:03:00,NFO,10-AUG-2023,94.2,94.2,94.2,29350,Options,Put,NIFTY,19650.0,0
109,94.2,2023-07-26 11:04:00,NFO,10-AUG-2023,94.2,94.2,94.2,29350,Options,Put,NIFTY,19650.0,0
110,94.2,2023-07-26 11:05:00,NFO,10-AUG-2023,94.2,94.2,94.2,29350,Options,Put,NIFTY,19650.0,0
111,92.4,2023-07-26 11:06:00,NFO,10-AUG-2023,94.2,92.15,94.2,29350,Options,Put,NIFTY,19650.0,750
112,92.4,2023-07-26 11:07:00,NFO,10-AUG-2023,92.4,92.4,92.4,29350,Options,Put,NIFTY,19650.0,0
113,92.25,2023-07-26 11:08:00,NFO,10-AUG-2023,92.4,92.25,92.4,29350,Options,Put,NIFTY,19650.0,100
114,93.3,2023-07-26 11:09:00,NFO,10-AUG-2023,93.3,92.25,92.25,28950,Options,Put,NIFTY,19650.0,150
115,93.3,2023-07-26 11:10:00,NFO,10-AUG-2023,93.3,93.3,93.3,28950,Options,Put,NIFTY,19650.0,0
116,93.3,2023-07-26 11:11:00,NFO,10-AUG-2023,93.3,93.3,93.3,28950,Options,Put,NIFTY,19650.0,0
117,93.45,2023-07-26 11:12:00,NFO,10-AUG-2023,93.45,93.3,93.3,29100,Options,Put,NIFTY,19650.0,0
118,92.85,2023-07-26 11:13:00,NFO,10-AUG-2023,93.45,92.85,93.45,29100,Options,Put,NIFTY,19650.0,100
119,92.85,2023-07-26 11:14:00,NFO,10-AUG-2023,92.85,92.85,92.85,29100,Options,Put,NIFTY,19650.0,0
120,93.75,2023-07-26 11:15:00,NFO,10-AUG-2023,93.75,92.85,92.85,29100,Options,Put,NIFTY,19650.0,300
121,93.75,2023-07-26 11:16:00,NFO,10-AUG-2023,93.75,93.75,93.75,29100,Options,Put,NIFTY,19650.0,0
122,93.75,2023-07-26 11:17:00,NFO,10-AUG-2023,93.75,93.75,93.75,29100,Options,Put,NIFTY,19650.0,0
123,93.75,2023-07-26 11:18:00,NFO,10-AUG-2023,93.75,93.75,93.75,29100,Options,Put,NIFTY,19650.0,0
124,95.2,2023-07-26 11:19:00,NFO,10-AUG-2023,95.5,93.75,93.75,29400,Options,Put,NIFTY,19650.0,500
125,95.2,2023-07-26 11:20:00,NFO,10-AUG-2023,95.2,95.2,95.2,29400,Options,Put,NIFTY,19650.0,0
126,95.2,2023-07-26 11:21:00,NFO,10-AUG-2023,95.2,95.2,95.2,29400,Options,Put,NIFTY,19650.0,0
127,95.2,2023-07-26 11:22:00,NFO,10-AUG-2023,95.2,95.2,95.2,29400,Options,Put,NIFTY,19650.0,0
128,95.2,2023-07-26 11:23:00,NFO,10-AUG-2023,95.2,95.2,95.2,29400,Options,Put,NIFTY,19650.0,0
129,93.25,2023-07-26 11:24:00,NFO,10-AUG-2023,93.25,93.25,93.25,29400,Options,Put,NIFTY,19650.0,50
130,92.15,2023-07-26 11:25:00,NFO,10-AUG-2023,93.25,92.0,93.25,29450,Options,Put,NIFTY,19650.0,10000
131,92.3,2023-07-26 11:26:00,NFO,10-AUG-2023,92.65,92.15,92.15,36050,Options,Put,NIFTY,19650.0,250
132,93.5,2023-07-26 11:27:00,NFO,10-AUG-2023,93.5,92.3,92.3,36050,Options,Put,NIFTY,19650.0,550
133,93.5,2023-07-26 11:28:00,NFO,10-AUG-2023,93.5,93.5,93.5,36050,Options,Put,NIFTY,19650.0,0
134,93.5,2023-07-26 11:29:00,NFO,10-AUG-2023,93.5,93.5,93.5,36050,Options,Put,NIFTY,19650.0,0
135,93.5,2023-07-26 11:30:00,NFO,10-AUG-2023,93.5,93.5,93.5,36050,Options,Put,NIFTY,19650.0,0
136,94.6,2023-07-26 11:31:00,NFO,10-AUG-2023,95.45,93.5,93.5,35800,Options,Put,NIFTY,19650.0,850
137,94.95,2023-07-26 11:32:00,NFO,10-AUG-2023,94.95,94.6,94.6,35800,Options,Put,NIFTY,19650.0,1000
138,94.8,2023-07-26 11:33:00,NFO,10-AUG-2023,95.1,94.45,94.45,36150,Options,Put,NIFTY,19650.0,3000
139,94.8,2023-07-26 11:34:00,NFO,10-AUG-2023,94.8,94.8,94.8,36150,Options,Put,NIFTY,19650.0,0
140,94.8,2023-07-26 11:35:00,NFO,10-AUG-2023,94.8,94.8,94.8,36150,Options,Put,NIFTY,19650.0,0
141,95.35,2023-07-26 11:36:00,NFO,10-AUG-2023,95.35,94.8,94.8,36150,Options,Put,NIFTY,19650.0,50
142,95.35,2023-07-26 11:37:00,NFO,10-AUG-2023,95.35,95.35,95.35,36150,Options,Put,NIFTY,19650.0,0
143,94.3,2023-07-26 11:38:00,NFO,10-AUG-2023,95.35,94.1,95.35,34100,Options,Put,NIFTY,19650.0,300
144,94.3,2023-07-26 11:39:00,NFO,10-AUG-2023,94.3,94.3,94.3,34100,Options,Put,NIFTY,19650.0,0
145,94.3,2023-07-26 11:40:00,NFO,10-AUG-2023,94.3,94.3,94.3,34100,Options,Put,NIFTY,19650.0,0
146,93.9,2023-07-26 11:41:00,NFO,10-AUG-2023,94.3,93.9,94.3,34450,Options,Put,NIFTY,19650.0,50
147,93.9,2023-07-26 11:42:00,NFO,10-AUG-2023,93.9,93.9,93.9,34450,Options,Put,NIFTY,19650.0,0
148,93.9,2023-07-26 11:43:00,NFO,10-AUG-2023,93.9,93.9,93.9,34450,Options,Put,NIFTY,19650.0,0
149,93.9,2023-07-26 11:44:00,NFO,10-AUG-2023,93.9,93.9,93.9,34450,Options,Put,NIFTY,19650.0,0
150,93.9,2023-07-26 11:45:00,NFO,10-AUG-2023,93.9,93.9,93.9,34450,Options,Put,NIFTY,19650.0,0
151,93.9,2023-07-26 11:46:00,NFO,10-AUG-2023,93.9,93.9,93.9,34450,Options,Put,NIFTY,19650.0,0
152,96.0,2023-07-26 11:47:00,NFO,10-AUG-2023,96.0,93.9,93.9,34450,Options,Put,NIFTY,19650.0,50
153,96.0,2023-07-26 11:48:00,NFO,10-AUG-2023,96.0,96.0,96.0,34450,Options,Put,NIFTY,19650.0,0
154,96.0,2023-07-26 11:49:00,NFO,10-AUG-2023,96.0,96.0,96.0,34450,Options,Put,NIFTY,19650.0,0
155,96.0,2023-07-26 11:50:00,NFO,10-AUG-2023,96.0,96.0,96.0,34450,Options,Put,NIFTY,19650.0,0
156,96.0,2023-07-26 11:51:00,NFO,10-AUG-2023,96.0,96.0,96.0,34450,Options,Put,NIFTY,19650.0,0
157,93.55,2023-07-26 11:52:00,NFO,10-AUG-2023,96.0,93.55,96.0,34450,Options,Put,NIFTY,19650.0,250
158,93.55,2023-07-26 11:53:00,NFO,10-AUG-2023,93.55,93.55,93.55,34450,Options,Put,NIFTY,19650.0,0
159,94.15,2023-07-26 11:54:00,NFO,10-AUG-2023,94.15,93.55,93.55,34450,Options,Put,NIFTY,19650.0,200
160,94.2,2023-07-26 11:55:00,NFO,10-AUG-2023,94.2,94.15,94.15,34450,Options,Put,NIFTY,19650.0,0
161,91.85,2023-07-26 11:56:00,NFO,10-AUG-2023,93.4,91.85,93.4,34450,Options,Put,NIFTY,19650.0,850
