,close,datetime,exchange_code,high,low,open,stock_code,volume
29,570.55,2024-04-19 09:44:00,NSE,570.55,570.55,570.55,ASAIND,0
30,570.0,2024-04-19 09:45:00,NSE,570.55,570.0,570.55,ASAIND,105
31,570.55,2024-04-19 09:46:00,NSE,570.9,569.9,569.9,ASAIND,162
32,570.7,2024-04-19 09:47:00,NSE,570.7,570.55,570.55,ASAIND,45
33,569.8,2024-04-19 09:48:00,NSE,570.75,569.8,570.7,ASAIND,131
34,567.75,2024-04-19 09:49:00,NSE,569.8,567.75,569.8,ASAIND,1840
35,569.95,2024-04-19 09:50:00,NSE,570.85,567.75,567.75,ASAIND,358
36,570.0,2024-04-19 09:51:00,NSE,570.0,569.95,569.95,ASAIND,9
37,568.7,2024-04-19 09:52:00,NSE,569.9,568.7,569.9,ASAIND,51
38,570.15,2024-04-19 09:53:00,NSE,570.15,568.4,568.9,ASAIND,566
39,570.15,2024-04-19 09:54:00,NSE,570.15,569.7,570.15,ASAIND,111
40,569.7,2024-04-19 09:55:00,NSE,570.15,569.7,570.15,ASAIND,62
41,569.7,2024-04-19 09:56:00,NSE,569.7,569.7,569.7,ASAIND,0
42,569.7,2024-04-19 09:57:00,NSE,569.7,569.7,569.7,ASAIND,0
43,568.8,2024-04-19 09:58:00,NSE,569.7,568.8,569.7,ASAIND,5
44,568.75,2024-04-19 09:59:00,NSE,568.8,568.75,568.8,ASAIND,538
45,570.1,2024-04-19 10:00:00,NSE,570.65,568.75,568.75,ASAIND,501
46,571.7,2024-04-19 10:01:00,NSE,571.7,570.0,570.1,ASAIND,172
47,571.85,2024-04-19 10:02:00,NSE,571.9,571.7,571.7,ASAIND,36
48,571.75,2024-04-19 10:03:00,NSE,571.85,571.65,571.85,ASAIND,222
49,571.1,2024-04-19 10:04:00,NSE,571.85,571.1,571.75,ASAIND,374
50,571.5,2024-04-19 10:05:00,NSE,571.5,571.1,571.1,ASAIND,4
51,572.4,2024-04-19 10:06:00,NSE,572.4,571.5,571.5,ASAIND,693
52,572.4,2024-04-19 10:07:00,NSE,572.4,572.4,572.4,ASAIND,4
53,573.1,2024-04-19 10:08:00,NSE,573.1,572.4,572.4,ASAIND,19
54,572.65,2024-04-19 10:09:00,NSE,573.1,572.55,573.1,ASAIND,249
55,572.65,2024-04-19 10:10:00,NSE,572.65,572.65,572.65,ASAIND,0
56,572.65,2024-04-19 10:11:00,NSE,572.65,572.65,572.65,ASAIND,0
57,572.0,2024-04-19 10:12:00,NSE,572.65,572.0,572.65,ASAIND,6
58,572.65,2024-04-19 10:13:00,NSE,572.65,572.0,572.0,ASAIND,2
59,572.5,2024-04-19 10:14:00,NSE,572.65,572.5,572.65,ASAIND,34
60,572.0,2024-04-19 10:15:00,NSE,572.5,571.6,572.5,ASAIND,231
61,572.5,2024-04-19 10:16:00,NSE,572.5,572.0,572.0,ASAIND,41
62,572.15,2024-04-19 10:17:00,NSE,572.5,572.15,572.5,ASAIND,108
63,572.0,2024-04-19 10:18:00,NSE,572.15,572.0,572.15,ASAIND,82
64,572.55,2024-04-19 10:19:00,NSE,572.55,571.8,572.0,ASAIND,49
65,574.85,2024-04-19 10:20:00,NSE,574.85,572.55,572.55,ASAIND,2175
66,575.85,2024-04-19 10:21:00,NSE,576.4,575.2,575.2,ASAIND,1056
67,575.85,2024-04-19 10:22:00,NSE,575.85,575.85,575.85,ASAIND,0
68,574.3,2024-04-19 10:23:00,NSE,575.85,574.3,575.85,ASAIND,439
69,574.95,2024-04-19 10:24:00,NSE,574.95,574.95,574.95,ASAIND,28
70,575.15,2024-04-19 10:25:00,NSE,575.15,574.95,574.95,ASAIND,304
71,575.15,2024-04-19 10:26:00,NSE,575.15,575.15,575.15,ASAIND,0
72,574.4,2024-04-19 10:27:00,NSE,575.15,574.4,575.15,ASAIND,33
73,574.35,2024-04-19 10:28:00,NSE,574.4,574.35,574.4,ASAIND,38
74,574.3,2024-04-19 10:29:00,NSE,574.35,574.3,574.35,ASAIND,55
75,573.45,2024-04-19 10:30:00,NSE,574.3,573.2,574.3,ASAIND,629
76,573.4,2024-04-19 10:31:00,NSE,573.45,573.4,573.45,ASAIND,5
77,573.0,2024-04-19 10:32:00,NSE,573.4,573.0,573.4,ASAIND,103
78,573.1,2024-04-19 10:33:00,NSE,573.1,572.25,573.0,ASAIND,57
79,573.1,2024-04-19 10:34:00,NSE,573.1,573.1,573.1,ASAIND,0
80,572.95,2024-04-19 10:35:00,NSE,573.1,572.95,573.1,ASAIND,22
81,572.95,2024-04-19 10:36:00,NSE,572.95,572.95,572.95,ASAIND,0
82,572.45,2024-04-19 10:37:00,NSE,572.95,572.45,572.95,ASAIND,33
83,572.4,2024-04-19 10:38:00,NSE,572.45,572.4,572.45,ASAIND,2
84,572.4,2024-04-19 10:39:00,NSE,572.4,572.4,572.4,ASAIND,0
85,572.6,2024-04-19 10:40:00,NSE,572.6,570.5,572.4,ASAIND,4739
86,573.25,2024-04-19 10:41:00,NSE,573.25,572.6,572.6,ASAIND,18
87,573.45,2024-04-19 10:42:00,NSE,573.45,573.25,573.25,ASAIND,11
88,572.85,2024-04-19 10:43:00,NSE,573.75,572.65,573.45,ASAIND,693
89,572.85,2024-04-19 10:44:00,NSE,572.85,572.85,572.85,ASAIND,0
90,572.15,2024-04-19 10:45:00,NSE,572.85,572.15,572.85,ASAIND,10
91,572.15,2024-04-19 10:46:00,NSE,572.15,572.15,572.15,ASAIND,0
92,571.55,2024-04-19 10:47:00,NSE,572.15,571.55,572.15,ASAIND,46
93,571.4,2024-04-19 10:48:00,NSE,571.95,570.55,570.55,ASAIND,97
94,571.4,2024-04-19 10:49:00,NSE,571.4,571.4,571.4,ASAIND,10
95,571.4,2024-04-19 10:50:00,NSE,571.4,571.4,571.4,ASAIND,0
96,571.8,2024-04-19 10:51:00,NSE,571.8,571.4,571.4,ASAIND,29
97,572.2,2024-04-19 10:52:00,NSE,572.2,571.8,571.8,ASAIND,7
98,571.5,2024-04-19 10:53:00,NSE,571.7,571.3,571.7,ASAIND,63
99,571.5,2024-04-19 10:54:00,NSE,571.5,571.5,571.5,ASAIND,0
100,571.95,2024-04-19 10:55:00,NSE,572.4,571.7,571.7,ASAIND,52
101,572.2,2024-04-19 10:56:00,NSE,572.2,571.95,571.95,ASAIND,51
102,571.55,2024-04-19 10:57:00,NSE,572.2,571.55,572.2,ASAIND,218
103,572.15,2024-04-19 10:58:00,NSE,572.15,571.55,571.55,ASAIND,31
104,572.1,2024-04-19 10:59:00,NSE,572.15,571.55,572.15,ASAIND,5
105,572.4,2024-04-19 11:00:00,NSE,572.4,572.0,572.1,ASAIND,554
106,572.65,2024-04-19 11:01:00,NSE,572.65,572.4,572.4,ASAIND,3
107,572.85,2024-04-19 11:02:00,NSE,572.85,572.65,572.65,ASAIND,46
108,572.6,2024-04-19 11:03:00,NSE,572.85,572.6,572.85,ASAIND,14
109,572.6,2024-04-19 11:04:00,NSE,572.6,572.6,572.6,ASAIND,1
110,572.5,2024-04-19 11:05:00,NSE,572.6,572.5,572.6,ASAIND,11
111,572.3,2024-04-19 11:06:00,NSE,572.5,571.7,572.5,ASAIND,73
112,572.5,2024-04-19 11:07:00,NSE,572.5,572.3,572.3,ASAIND,38
