close,exchange_code,high,low,open,stock_code,volume
18515.0,NSE,18515.0,18506.0,18506.15,NESIND,256
18500.0,NSE,18515.0,18492.55,18515.0,NESIND,742
18495.05,NSE,18515.0,18494.2,18500.05,NESIND,274
18479.2,NSE,18500.0,18474.75,18495.55,NESIND,818
18461.3,NSE,18480.0,18454.55,18473.15,NESIND,309
18492.2,NSE,18510.35,18461.3,18461.3,NESIND,963
18495.0,NSE,18509.8,18492.25,18500.0,NESIND,55
18488.1,NSE,18498.35,18475.15,18489.5,NESIND,218
18479.05,NSE,18500.0,18477.3,18477.3,NESIND,95
18479.05,NSE,18499.0,18479.05,18485.8,NESIND,199
18480.0,NSE,18488.85,18476.0,18480.0,NESIND,68
18480.0,NSE,18480.0,18470.0,18470.0,NESIND,124
18471.0,NSE,18479.95,18471.0,18479.95,NESIND,13
18471.1,NSE,18480.0,18471.0,18471.25,NESIND,67
18475.45,NSE,18480.0,18471.1,18480.0,NESIND,26
18460.45,NSE,18475.3,18460.05,18471.15,NESIND,115
18460.35,NSE,18470.4,18460.0,18460.0,NESIND,41
18473.3,NSE,18473.3,18460.0,18460.0,NESIND,96
18462.0,NSE,18471.0,18460.15,18465.3,NESIND,57
18463.55,NSE,18477.35,18462.1,18473.95,NESIND,100
18465.45,NSE,18479.1,18463.6,18477.1,NESIND,100
18480.0,NSE,18480.0,18469.7,18479.1,NESIND,119
18480.0,NSE,18480.0,18465.5,18470.45,NESIND,222
18480.0,NSE,18480.0,18470.4,18475.0,NESIND,69
18480.0,NSE,18480.0,18470.75,18480.0,NESIND,603
18480.0,NSE,18480.0,18470.3,18480.0,NESIND,228
18476.0,NSE,18480.0,18476.0,18480.0,NESIND,23
18480.0,NSE,18480.0,18476.0,18476.05,NESIND,29
18480.0,NSE,18480.0,18476.0,18480.0,NESIND,24
18480.2,NSE,18495.1,18477.25,18478.25,NESIND,95
18500.0,NSE,18500.0,18487.15,18488.7,NESIND,58
18497.95,NSE,18500.0,18497.95,18500.0,NESIND,58
18500.0,NSE,18500.0,18491.2,18500.0,NESIND,163
18499.9,NSE,18500.0,18490.85,18500.0,NESIND,86
18500.0,NSE,18500.0,18491.0,18491.0,NESIND,87
18500.0,NSE,18500.0,18492.05,18500.0,NESIND,292
18500.0,NSE,18510.0,18495.95,18500.0,NESIND,811
18500.0,NSE,18508.3,18497.0,18500.0,NESIND,376
18499.5,NSE,18499.95,18480.45,18480.45,NESIND,153
18500.0,NSE,18500.0,18486.1,18488.4,NESIND,145
18500.0,NSE,18500.0,18489.2,18500.0,NESIND,301
18500.0,NSE,18500.0,18490.0,18490.05,NESIND,42
18499.95,NSE,18500.0,18498.35,18500.0,NESIND,428
18486.3,NSE,18500.0,18486.3,18496.15,NESIND,73
18495.0,NSE,18499.9,18486.15,18486.15,NESIND,32
18499.95,NSE,18500.0,18490.3,18495.0,NESIND,105
18492.7,NSE,18500.0,18486.0,18500.0,NESIND,86
18499.9,NSE,18500.0,18490.0,18492.7,NESIND,54
18500.0,NSE,18500.0,18490.05,18490.05,NESIND,92
18500.0,NSE,18500.0,18490.05,18499.95,NESIND,28
18490.4,NSE,18500.0,18490.0,18490.0,NESIND,54
18499.0,NSE,18500.0,18492.45,18500.0,NESIND,46
18500.0,NSE,18500.0,18490.45,18499.0,NESIND,235
18495.3,NSE,18502.95,18492.7,18500.0,NESIND,199
18500.0,NSE,18503.0,18491.75,18500.0,NESIND,112
18500.0,NSE,18500.0,18493.55,18499.95,NESIND,38
18500.0,NSE,18503.0,18493.8,18500.0,NESIND,341
18500.0,NSE,18500.0,18493.55,18493.55,NESIND,67
18500.0,NSE,18500.0,18493.55,18493.55,NESIND,45
18493.55,NSE,18500.0,18493.55,18500.0,NESIND,107
18499.85,NSE,18500.0,18493.6,18500.0,NESIND,251
18499.0,NSE,18500.0,18499.0,18500.0,NESIND,75
18500.0,NSE,18500.0,18493.6,18499.9,NESIND,216
18501.35,NSE,18501.35,18493.55,18495.0,NESIND,59
18504.0,NSE,18504.0,18493.0,18500.0,NESIND,185
18505.0,NSE,18505.0,18502.0,18504.0,NESIND,638
18519.2,NSE,18520.0,18504.0,18504.0,NESIND,528
18504.0,NSE,18525.0,18504.0,18519.2,NESIND,415
18502.3,NSE,18510.0,18493.75,18510.0,NESIND,265
18509.95,NSE,18510.0,18496.35,18509.95,NESIND,57
18508.95,NSE,18509.95,18500.0,18500.05,NESIND,85
18500.0,NSE,18508.95,18500.0,18500.05,NESIND,52
18500.0,NSE,18508.0,18500.0,18500.0,NESIND,92
18507.5,NSE,18508.0,18500.0,18500.0,NESIND,52
18507.95,NSE,18507.95,18500.0,18500.0,NESIND,59
18509.9,NSE,18509.9,18500.0,18502.0,NESIND,101
18501.0,NSE,18509.9,18501.0,18501.55,NESIND,57
18508.9,NSE,18509.0,18501.0,18501.05,NESIND,59
18508.85,NSE,18508.9,18501.0,18502.0,NESIND,64
18510.0,NSE,18510.0,18502.0,18508.85,NESIND,132
18509.95,NSE,18510.0,18502.0,18502.05,NESIND,87
18517.7,NSE,18519.0,18502.0,18509.9,NESIND,299
18504.95,NSE,18518.0,18504.85,18515.65,NESIND,110
18505.05,NSE,18517.3,18505.0,18515.1,NESIND,79
18513.45,NSE,18513.65,18504.9,18504.9,NESIND,70
18513.4,NSE,18513.4,18505.0,18505.0,NESIND,90
18510.0,NSE,18514.95,18505.05,18513.4,NESIND,104
18506.0,NSE,18515.0,18505.2,18507.0,NESIND,74
18505.5,NSE,18514.55,18505.05,18506.05,NESIND,73
18505.2,NSE,18512.0,18505.2,18512.0,NESIND,102
18504.1,NSE,18511.0,18498.0,18505.2,NESIND,345
18499.95,NSE,18505.0,18493.15,18505.0,NESIND,164
18499.0,NSE,18499.95,18490.05,18495.05,NESIND,241
18498.5,NSE,18499.0,18490.0,18497.0,NESIND,177
18514.75,NSE,18515.0,18501.05,18511.0,NESIND,505
18540.0,NSE,18548.95,18515.85,18537.55,NESIND,723
18536.8,NSE,18541.0,18522.25,18540.0,NESIND,121
