close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
97.0,2023-11-24 10:39:00,NFO,2023-12-14,99.0,97.0,99.0,84650,Options,Put,NIFTY,19700.0,250
97.0,2023-11-24 10:40:00,NFO,2023-12-14,97.0,97.0,97.0,84650,Options,Put,NIFTY,19700.0,0
95.25,2023-11-24 10:41:00,NFO,2023-12-14,97.1,95.25,97.0,84650,Options,Put,NIFTY,19700.0,350
93.75,2023-11-24 10:42:00,NFO,2023-12-14,95.25,93.75,95.25,84650,Options,Put,NIFTY,19700.0,950
93.7,2023-11-24 10:43:00,NFO,2023-12-14,93.75,92.15,93.75,84650,Options,Put,NIFTY,19700.0,450
93.3,2023-11-24 10:44:00,NFO,2023-12-14,93.7,92.25,93.7,84350,Options,Put,NIFTY,19700.0,1200
93.95,2023-11-24 10:45:00,NFO,2023-12-14,93.95,93.3,93.3,84350,Options,Put,NIFTY,19700.0,50
93.95,2023-11-24 10:46:00,NFO,2023-12-14,93.95,93.95,93.95,84350,Options,Put,NIFTY,19700.0,500
94.0,2023-11-24 10:47:00,NFO,2023-12-14,94.05,93.95,93.95,84350,Options,Put,NIFTY,19700.0,150
94.55,2023-11-24 10:48:00,NFO,2023-12-14,94.55,94.0,94.0,84900,Options,Put,NIFTY,19700.0,150
94.8,2023-11-24 10:49:00,NFO,2023-12-14,94.8,94.8,94.8,84900,Options,Put,NIFTY,19700.0,100
93.85,2023-11-24 10:50:00,NFO,2023-12-14,94.8,93.85,94.8,85450,Options,Put,NIFTY,19700.0,2550
92.55,2023-11-24 10:51:00,NFO,2023-12-14,93.85,92.0,93.85,85450,Options,Put,NIFTY,19700.0,1100
92.55,2023-11-24 10:52:00,NFO,2023-12-14,92.55,92.55,92.55,85450,Options,Put,NIFTY,19700.0,1050
92.55,2023-11-24 10:53:00,NFO,2023-12-14,92.55,92.55,92.55,85450,Options,Put,NIFTY,19700.0,0
92.55,2023-11-24 10:54:00,NFO,2023-12-14,92.55,92.55,92.55,85450,Options,Put,NIFTY,19700.0,0
95.1,2023-11-24 10:55:00,NFO,2023-12-14,95.1,92.55,92.55,85050,Options,Put,NIFTY,19700.0,1250
94.75,2023-11-24 10:56:00,NFO,2023-12-14,95.1,94.75,95.1,85050,Options,Put,NIFTY,19700.0,50
94.35,2023-11-24 10:57:00,NFO,2023-12-14,94.75,94.35,94.75,84700,Options,Put,NIFTY,19700.0,100
94.35,2023-11-24 10:58:00,NFO,2023-12-14,94.35,94.35,94.35,84700,Options,Put,NIFTY,19700.0,0
94.8,2023-11-24 10:59:00,NFO,2023-12-14,94.85,94.35,94.35,84700,Options,Put,NIFTY,19700.0,1200
94.8,2023-11-24 11:00:00,NFO,2023-12-14,94.95,94.8,94.95,85800,Options,Put,NIFTY,19700.0,50
94.8,2023-11-24 11:01:00,NFO,2023-12-14,94.8,94.8,94.8,85800,Options,Put,NIFTY,19700.0,200
94.8,2023-11-24 11:02:00,NFO,2023-12-14,94.8,94.8,94.8,85800,Options,Put,NIFTY,19700.0,0
97.0,2023-11-24 11:03:00,NFO,2023-12-14,97.0,94.8,94.8,86050,Options,Put,NIFTY,19700.0,800
95.65,2023-11-24 11:04:00,NFO,2023-12-14,97.0,95.65,97.0,86050,Options,Put,NIFTY,19700.0,50
95.65,2023-11-24 11:05:00,NFO,2023-12-14,95.65,95.65,95.65,86050,Options,Put,NIFTY,19700.0,0
95.65,2023-11-24 11:06:00,NFO,2023-12-14,95.65,95.65,95.65,86050,Options,Put,NIFTY,19700.0,0
95.65,2023-11-24 11:07:00,NFO,2023-12-14,95.65,95.65,95.65,86050,Options,Put,NIFTY,19700.0,0
95.65,2023-11-24 11:08:00,NFO,2023-12-14,95.65,95.65,95.65,86050,Options,Put,NIFTY,19700.0,0
95.35,2023-11-24 11:09:00,NFO,2023-12-14,95.65,95.35,95.65,86800,Options,Put,NIFTY,19700.0,200
96.75,2023-11-24 11:10:00,NFO,2023-12-14,96.75,95.35,95.35,86800,Options,Put,NIFTY,19700.0,650
96.6,2023-11-24 11:11:00,NFO,2023-12-14,96.6,96.3,96.3,87500,Options,Put,NIFTY,19700.0,400
96.6,2023-11-24 11:12:00,NFO,2023-12-14,96.6,96.6,96.6,87500,Options,Put,NIFTY,19700.0,0
